City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
91,Ambanja,MG,75.45,moderate rain,-13.6833,48.45,Hotel Salama and Fast Food
93,Touros,BR,88.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
94,Atuona,PF,78.19,light rain,-9.8,-139.0333,Villa Enata
96,Esperance,AU,72.93,broken clouds,-33.8667,121.9,Hospitality Esperance
98,Kavieng,PG,80.76,light rain,-2.5744,150.7967,Nusa Island Retreat
100,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
103,Avarua,CK,71.65,few clouds,-21.2078,-159.775,Paradise Inn
104,Coahuayana,MX,81.88,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
106,Faanui,PF,80.98,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
107,Bowen,AU,77.13,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
108,Bago,MM,75.33,scattered clouds,17.3367,96.4797,Jade Garden
112,Veraval,IN,72.73,clear sky,20.9,70.3667,Lords Inn Somnath
115,Buraydah,SA,76.06,scattered clouds,26.326,43.975,فندق راحة السلام
122,Adre,TD,73.74,clear sky,13.4667,22.2,
123,Iquique,CL,75.24,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
126,Port Hedland,AU,84.25,few clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
128,Bousso,TD,84.31,few clouds,10.4795,16.7117,
133,Buchanan,LR,89.56,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
139,Ugoofaaru,MV,81.57,overcast clouds,5.6667,73.0,Ungoofaaru Inn
142,Hambantota,LK,78.24,moderate rain,6.1241,81.1185,Bungalow 63
145,Masterton,NZ,71.96,light rain,-40.9597,175.6575,Copthorne Hotel & Resort Solway Park Wairarapa
147,Ahipara,NZ,72.75,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
149,Atar,MR,86.47,broken clouds,20.5169,-13.0499,Oumou Elghoura
