City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
182,Rio Cuarto,-33.1307,-64.3499,85.77,32,0,21.85,clear sky
183,Dargaville,-35.9333,173.8833,71.58,93,97,6.91,overcast clouds
184,Skuodas,56.2667,21.5333,39.06,92,100,12.44,overcast clouds
185,Yanam,16.7333,82.2167,69.22,80,16,2.42,few clouds
186,Coihaique,-45.5752,-72.0662,57.81,38,40,8.05,scattered clouds
187,Faya,18.3851,42.4509,63.12,65,7,6.06,clear sky
188,Yangambi,0.8102,24.4336,87.94,41,79,2.71,broken clouds
189,Cidreira,-30.1811,-50.2056,76.44,70,0,15.12,clear sky
190,Walvis Bay,-22.9575,14.5053,79.75,61,17,10.36,few clouds
191,Wanaka,-44.7,169.15,55.4,84,0,3.67,clear sky
192,Emba,48.8264,58.1442,19.13,90,100,16.13,light snow
193,Esso,55.9333,158.7,-1.95,92,61,4.79,broken clouds
194,Saint George,37.1041,-113.5841,48.25,46,0,4.61,clear sky
195,Tual,-5.6667,132.75,82.94,74,100,3.53,heavy intensity rain
196,Half Moon Bay,37.4636,-122.4286,61.61,65,0,11.5,clear sky
197,Corning,42.1428,-77.0547,40.91,62,0,16.11,clear sky
198,Yambio,4.5721,28.3955,91.11,21,92,2.64,overcast clouds
199,Salihli,38.4826,28.1477,41.22,58,0,4.5,clear sky
200,Havoysund,70.9963,24.6622,23.88,71,100,9.51,overcast clouds
201,Nipawin,53.3668,-104.0009,37.44,93,100,14.97,overcast clouds
202,Ilulissat,69.2167,-51.1,-18.85,93,49,6.26,scattered clouds
203,Sibolga,1.7427,98.7792,75.47,87,100,4.85,overcast clouds
204,Palmer,42.1584,-72.3287,47.19,81,81,4.0,broken clouds
205,Touros,-5.1989,-35.4608,90.5,51,56,12.53,broken clouds
206,Igrim,63.1906,64.4162,12.56,90,93,12.77,overcast clouds
207,Tolyatti,53.5303,49.3461,19.76,97,98,3.51,light snow
208,Belyy Yar,53.6039,91.3903,-18.51,64,19,2.24,few clouds
209,Thompson,55.7435,-97.8558,-7.44,77,100,11.5,overcast clouds
210,Severo-Kurilsk,50.6789,156.125,25.86,71,92,8.88,overcast clouds
211,Provideniya,64.3833,-173.3,-19.43,91,43,3.53,scattered clouds
212,Pokhara,28.2333,83.9833,53.64,60,85,2.35,overcast clouds
213,Lavrentiya,65.5833,-171.0,-29.83,95,48,4.36,scattered clouds
214,Dudinka,69.4058,86.1778,-0.38,89,46,16.89,scattered clouds
215,Pisco,-13.7,-76.2167,76.01,78,0,8.05,clear sky
216,Tuktoyaktuk,69.4541,-133.0374,-14.8,70,100,2.3,light snow
217,Guangyuan,32.442,105.823,43.2,73,100,1.14,overcast clouds
218,Kalianget,-7.05,113.9333,76.77,92,100,10.51,overcast clouds
219,Port Augusta,-32.5,137.7667,66.34,59,0,12.88,clear sky
220,Pangnirtung,66.1451,-65.7125,-14.8,70,100,4.61,overcast clouds
221,Beringovskiy,63.05,179.3167,-26.5,92,25,3.51,scattered clouds
222,Tabou,4.423,-7.3528,83.79,71,57,10.96,broken clouds
223,Port Angeles,48.1181,-123.4307,46.06,98,100,5.75,mist
224,Synya,65.3718,58.0387,23.18,86,100,15.82,overcast clouds
225,Airai,-8.9266,125.4092,61.07,97,100,1.05,overcast clouds
226,Lagoa,39.05,-27.9833,58.26,72,39,9.28,scattered clouds
227,Valparaiso,-33.0393,-71.6273,65.48,89,100,9.22,fog
228,Maroantsetra,-15.4333,49.7333,78.49,86,20,5.41,moderate rain
229,Chaozhou,23.6651,116.6379,58.86,89,66,2.33,broken clouds
230,Aasiaat,68.7098,-52.8699,-20.11,99,99,5.35,overcast clouds
231,Zhangye,38.9342,100.4517,24.26,42,92,1.68,overcast clouds
232,Mokhsogollokh,61.4681,128.9203,-27.69,100,84,3.11,broken clouds
233,Hervey Bay,-25.2986,152.8535,68.11,70,0,12.88,clear sky
234,Hue,16.4667,107.6,69.91,94,75,2.3,broken clouds
235,Vila Velha,-20.3297,-40.2925,78.94,82,40,14.97,scattered clouds
236,Turukhansk,65.8167,87.9833,-23.1,98,24,4.76,few clouds
237,Vao,-22.6667,167.4833,81.37,87,100,45.97,moderate rain
238,Ancud,-41.8697,-73.8203,58.53,44,4,8.41,clear sky
239,Payo,-3.7508,103.6372,71.85,89,98,2.68,overcast clouds
240,Buckeye,33.3703,-112.5838,68.56,23,1,7.76,clear sky
241,Iqaluit,63.7506,-68.5145,-15.07,76,100,2.3,light snow
242,Whitianga,-36.8333,175.7,72.01,97,90,4.23,overcast clouds
243,Jardim,-21.4803,-56.1381,94.98,18,0,7.67,clear sky
244,Marsa Matruh,31.3525,27.2453,57.4,54,40,13.8,scattered clouds
245,South Daytona,29.1658,-81.0045,63.23,56,0,8.01,clear sky
246,Omsukchan,62.5333,155.8,-27.81,81,84,3.67,broken clouds
247,Altay,47.8667,88.1167,3.79,91,99,5.23,overcast clouds
248,Waddan,29.1614,16.139,60.21,38,7,11.7,clear sky
249,Pinheiro Machado,-31.5783,-53.3811,83.37,34,0,6.58,clear sky
250,Sol-Iletsk,51.1631,54.9918,23.22,96,100,17.05,snow
251,Muchkapskiy,51.8513,42.4717,29.17,97,100,9.17,snow
252,Alice Town,25.7167,-79.3,73.22,65,73,12.08,broken clouds
253,Kennett,36.2362,-90.0556,46.63,58,0,5.75,clear sky
254,Cayenne,4.9333,-52.3333,81.09,82,100,3.44,overcast clouds
255,Pasighat,28.0667,95.3333,58.05,84,95,5.19,overcast clouds
